id,name,country,lat,lon,feature_type,motorway_ref,has_playground,playground_count,match_type,toilets,restaurant,fuel,cafe,picnic,wheelchair,source,osm_url,data_retrieved_at,WKT,latitude,longitude
relation/17514874,Rastplatz Kalwang,AT,47.42628,14.722916,rest_area,,True,1,contained,True,False,False,False,False,False,osm,https://www.openstreetmap.org/relation/17514874,2026-06-23,POINT (14.722916 47.42628),47.42628,14.722916
relation/4860451,Raststation,AT,47.923424,17.114314,services,,True,1,contained,False,False,False,False,False,False,osm,https://www.openstreetmap.org/relation/4860451,2026-06-23,POINT (17.114314 47.923424),47.923424,17.114314
way/1498965566,Rastplatz,AT,46.577003,14.74804,rest_area,,True,2,contained,False,False,False,False,False,False,osm,https://www.openstreetmap.org/way/1498965566,2026-06-23,POINT (14.74804 46.577003),46.577003,14.74804
way/1501953443,Raststation,AT,48.196153,14.525409,services,,True,1,contained,False,False,False,False,False,False,osm,https://www.openstreetmap.org/way/1501953443,2026-06-23,POINT (14.525409 48.196153),48.196153,14.525409
way/157107388,Rastplatz Maria Ellend,AT,48.094957,16.661073,rest_area,,True,1,contained,True,False,False,False,False,False,osm,https://www.openstreetmap.org/way/157107388,2026-06-23,POINT (16.661073 48.094957),48.094957,16.661073
way/189919124,Rastplatz Denk,AT,48.347497,14.455161,rest_area,,True,1,contained,False,False,False,False,False,False,osm,https://www.openstreetmap.org/way/189919124,2026-06-23,POINT (14.455161 48.347497),48.347497,14.455161
way/192707339,Gralla West,AT,46.832813,15.548282,services,,True,1,contained,True,False,False,False,False,False,osm,https://www.openstreetmap.org/way/192707339,2026-06-23,POINT (15.548282 46.832813),46.832813,15.548282
way/192901592,Raststation Kaiserwald,AT,46.959826,15.382971,services,,True,1,contained,False,False,False,False,False,False,osm,https://www.openstreetmap.org/way/192901592,2026-06-23,POINT (15.382971 46.959826),46.959826,15.382971
way/192927910,Raststation Loipersdorf,AT,47.332098,16.060837,services,,True,1,contained,True,False,False,False,False,False,osm,https://www.openstreetmap.org/way/192927910,2026-06-23,POINT (16.060837 47.332098),47.332098,16.060837
way/200145931,Raststation Tauernalm,AT,47.248068,13.425215,services,,True,1,contained,True,False,False,False,False,False,osm,https://www.openstreetmap.org/way/200145931,2026-06-23,POINT (13.425215 47.248068),47.248068,13.425215
way/207488228,Raststation Pack Preitenegg,AT,46.958735,14.912308,services,,True,1,contained,True,False,False,False,False,False,osm,https://www.openstreetmap.org/way/207488228,2026-06-23,POINT (14.912308 46.958735),46.958735,14.912308
way/210456429,Rastplatz Schallaburg,AT,48.194383,15.380651,rest_area,,True,1,contained,True,False,False,False,False,False,osm,https://www.openstreetmap.org/way/210456429,2026-06-23,POINT (15.380651 48.194383),48.194383,15.380651
way/212719622,Rastplatz,AT,48.672373,13.898534,rest_area,,True,1,contained,False,False,False,False,False,False,osm,https://www.openstreetmap.org/way/212719622,2026-06-23,POINT (13.898534 48.672373),48.672373,13.898534
