id,name,country,lat,lon,feature_type,motorway_ref,has_playground,playground_count,match_type,play_type,side,toilets,restaurant,fuel,cafe,picnic,wheelchair,source,verified_source,osm_url,data_retrieved_at,last_verified,WKT,latitude,longitude
node/11183994737,Parking Middelkerke,BE,51.18701,2.819729,rest_area,,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/11183994737,2026-06-24,2026-06-24,POINT (2.819729 51.18701),51.18701,2.819729
node/9952454919,Parking Hertsberge,BE,51.119269,3.291588,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/9952454919,2026-06-24,2026-06-24,POINT (3.291588 51.119269),51.119269,3.291588
way/1005353439,Minderhout,BE,51.419221,4.703154,services,E19,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1005353439,2026-06-24,2026-06-24,POINT (4.703154 51.419221),51.419221,4.703154
way/1025593411,Kruibeke-Noord,BE,51.185027,4.289542,services,E17,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1025593411,2026-06-24,2026-06-24,POINT (4.289542 51.185027),51.185027,4.289542
way/1136952420,Parking Kalken (Zuid),BE,51.069941,3.920845,services,E17,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1136952420,2026-06-24,2026-06-24,POINT (3.920845 51.069941),51.069941,3.920845
way/1136952421,Parking Kalken (Noord),BE,51.071983,3.920171,services,E17,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1136952421,2026-06-24,2026-06-24,POINT (3.920171 51.071983),51.071983,3.920171
way/238934525,Aire d'Aische-en-Refail,BE,50.599728,4.791315,services,E411,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/238934525,2026-06-24,2026-06-24,POINT (4.791315 50.599728),50.599728,4.791315
way/369427323,Aire de Spy,BE,50.494874,4.701669,services,E42,True,2,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/369427323,2026-06-24,2026-06-24,POINT (4.701669 50.494874),50.494874,4.701669
way/369732635,Aire de Couthuin,BE,50.539294,5.122902,rest_area,E42,True,2,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/369732635,2026-06-24,2026-06-24,POINT (5.122902 50.539294),50.539294,5.122902
way/369912128,Aire de Tignée,BE,50.654661,5.709501,services,E40;E42,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/369912128,2026-06-24,2026-06-24,POINT (5.709501 50.654661),50.654661,5.709501
way/401423785,Dienstenzone Jabbeke,BE,51.188005,3.105453,services,E40,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/401423785,2026-06-24,2026-06-24,POINT (3.105453 51.188005),51.188005,3.105453
way/434733974,Dienstenzone Drongen-Zuid,BE,51.033182,3.638641,services,E40,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/434733974,2026-06-24,2026-06-24,POINT (3.638641 51.033182),51.033182,3.638641
way/472678462,Halveweg / Zolder,BE,51.012036,5.33238,services,E314,True,2,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/472678462,2026-06-24,2026-06-24,POINT (5.33238 51.012036),51.012036,5.33238
way/626741849,Nazareth-Zuid,BE,50.970239,3.608019,services,E17,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/626741849,2026-06-24,2026-06-24,POINT (3.608019 50.970239),50.970239,3.608019
way/678645006,Parking Wommelgem,BE,51.208174,4.54814,services,E34;E313,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/678645006,2026-06-24,2026-06-24,POINT (4.54814 51.208174),51.208174,4.54814
way/700103113,Dienstenzone Drongen-Noord,BE,51.035425,3.638087,services,E40,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/700103113,2026-06-24,2026-06-24,POINT (3.638087 51.035425),51.035425,3.638087
way/851905492,Rustplaats Gentbrugge-Zuid,BE,51.041589,3.783704,services,E17,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/851905492,2026-06-24,2026-06-24,POINT (3.783704 51.041589),51.041589,3.783704
way/89579671,Aire de Nantimont,BE,49.713668,5.605815,rest_area,E25;E411,True,2,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/89579671,2026-06-24,2026-06-24,POINT (5.605815 49.713668),49.713668,5.605815
way/965000826,Heverlee Noord,BE,50.853966,4.658846,services,E40,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/965000826,2026-06-24,2026-06-24,POINT (4.658846 50.853966),50.853966,4.658846
way/965000827,Heverlee Zuid,BE,50.852248,4.658058,services,E40,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/965000827,2026-06-24,2026-06-24,POINT (4.658058 50.852248),50.852248,4.658058
