id,name,country,lat,lon,feature_type,motorway_ref,has_playground,playground_count,match_type,toilets,restaurant,fuel,cafe,picnic,wheelchair,source,osm_url,data_retrieved_at,WKT,latitude,longitude
node/2028353956,Neuenkirch West,CH,47.110732,8.233663,services,A2,True,1,proximity,True,False,False,False,False,False,osm,https://www.openstreetmap.org/node/2028353956,2026-06-23,POINT (8.233663 47.110732),47.110732,8.233663
node/4249737973,Jordillon,CH,46.505217,6.709577,rest_area,A9,True,5,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/4249737973,2026-06-23,POINT (6.709577 46.505217),46.505217,6.709577
node/4739993229,Rastplatz Heitenried,CH,46.827092,7.300966,rest_area,,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/4739993229,2026-06-23,POINT (7.300966 46.827092),46.827092,7.300966
node/4881373821,Rastplatz Gipf-Oberfrick,CH,47.48421,8.005455,rest_area,,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/4881373821,2026-06-23,POINT (8.005455 47.48421),47.48421,8.005455
node/4969901428,Rastplatz Baar,CH,47.19465,8.525338,rest_area,,True,4,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/4969901428,2026-06-23,POINT (8.525338 47.19465),47.19465,8.525338
node/5518091357,Rastplatz La Clochatte,CH,46.544884,6.643047,rest_area,A9,True,3,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/5518091357,2026-06-23,POINT (6.643047 46.544884),46.544884,6.643047
node/5883006285,Rastplatz Prilly,CH,46.538201,6.609087,rest_area,,True,3,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/5883006285,2026-06-23,POINT (6.609087 46.538201),46.538201,6.609087
node/5883006286,Rastplatz Prilly,CH,46.537943,6.609241,rest_area,,True,3,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/5883006286,2026-06-23,POINT (6.609241 46.537943),46.537943,6.609241
node/5883006287,Rastplatz Prilly,CH,46.537508,6.609599,rest_area,,True,2,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/5883006287,2026-06-23,POINT (6.609599 46.537508),46.537508,6.609599
node/7379750586,Rastplatz Meyrin,CH,46.23263,6.069967,rest_area,,True,5,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/7379750586,2026-06-23,POINT (6.069967 46.23263),46.23263,6.069967
