id,name,country,lat,lon,feature_type,motorway_ref,has_playground,playground_count,match_type,play_type,side,toilets,restaurant,fuel,cafe,picnic,wheelchair,source,verified_source,osm_url,data_retrieved_at,last_verified,WKT,latitude,longitude
node/1317204944,Rasteplads Fasterholt,DK,56.003474,9.170079,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/1317204944,2026-06-24,2026-06-24,POINT (9.170079 56.003474),56.003474,9.170079
node/13757901353,Rasteplads Stavtrup,DK,56.127973,10.132396,rest_area,501,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13757901353,2026-06-24,2026-06-24,POINT (10.132396 56.127973),56.127973,10.132396
node/13758454154,Rasteplads Sulbæk,DK,57.359344,10.508302,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13758454154,2026-06-24,2026-06-24,POINT (10.508302 57.359344),57.359344,10.508302
node/13759127539,Rasteplads Bøgager,DK,55.750111,9.533617,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13759127539,2026-06-24,2026-06-24,POINT (9.533617 55.750111),55.750111,9.533617
node/13759747792,Rasteplads Nordborg,DK,55.055262,9.759507,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13759747792,2026-06-24,2026-06-24,POINT (9.759507 55.055262),55.055262,9.759507
node/1827076597,Kværkeby Syd,DK,55.452909,11.855093,rest_area,E20,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/1827076597,2026-06-24,2026-06-24,POINT (11.855093 55.452909),55.452909,11.855093
node/2460861284,Rasteplads Foldingbro,DK,55.441049,8.998445,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/2460861284,2026-06-24,2026-06-24,POINT (8.998445 55.441049),55.441049,8.998445
node/31389973,Q8,DK,55.514583,9.40162,services,E20,True,1,proximity,outdoor,unknown,True,False,False,False,False,True,osm,osm,https://www.openstreetmap.org/node/31389973,2026-06-24,2026-06-24,POINT (9.40162 55.514583),55.514583,9.40162
node/3262515476,Rasteplads Greve Strand,DK,55.589439,12.275827,rest_area,E20;E47,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/3262515476,2026-06-24,2026-06-24,POINT (12.275827 55.589439),55.589439,12.275827
node/3646630262,Rasteplads Villebøl,DK,55.407456,8.884722,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/3646630262,2026-06-24,2026-06-24,POINT (8.884722 55.407456),55.407456,8.884722
node/394912980,Søby Øst,DK,56.039709,9.004301,rest_area,18,True,2,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/394912980,2026-06-24,2026-06-24,POINT (9.004301 56.039709),56.039709,9.004301
node/394913753,Søby Vest,DK,56.038282,9.000558,rest_area,18,True,2,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/394913753,2026-06-24,2026-06-24,POINT (9.000558 56.038282),56.038282,9.000558
node/4695624787,Rasteplads Hårby,DK,56.097035,9.896511,rest_area,,True,1,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4695624787,2026-06-24,2026-06-24,POINT (9.896511 56.097035),56.097035,9.896511
node/492642441,Rasteplads Skovdallund,DK,55.734393,9.416875,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/492642441,2026-06-24,2026-06-24,POINT (9.416875 55.734393),55.734393,9.416875
node/5086370002,Piberhus Vest,DK,55.325736,12.035214,services,E47;E55,True,2,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/5086370002,2026-06-24,2026-06-24,POINT (12.035214 55.325736),55.325736,12.035214
node/543762608,Rasteplads Hårby,DK,56.097045,9.896814,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/543762608,2026-06-24,2026-06-24,POINT (9.896814 56.097045),56.097045,9.896814
node/6270574896,Rasteplads Østerbro,DK,55.704642,12.570016,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/6270574896,2026-06-24,2026-06-24,POINT (12.570016 55.704642),55.704642,12.570016
node/6270574897,Rasteplads Østerbro,DK,55.7044,12.570028,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/6270574897,2026-06-24,2026-06-24,POINT (12.570028 55.7044),55.7044,12.570028
node/6270574898,Rasteplads Østerbro,DK,55.704368,12.570555,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/6270574898,2026-06-24,2026-06-24,POINT (12.570555 55.704368),55.704368,12.570555
node/6270574899,Rasteplads Østerbro,DK,55.704174,12.570592,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/6270574899,2026-06-24,2026-06-24,POINT (12.570592 55.704174),55.704174,12.570592
node/725964677,Rønkilde Syd,DK,56.133216,9.300086,rest_area,15,True,2,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/725964677,2026-06-24,2026-06-24,POINT (9.300086 56.133216),56.133216,9.300086
node/7824566889,Rasteplads Bredebro,DK,55.051109,8.830641,rest_area,,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/7824566889,2026-06-24,2026-06-24,POINT (8.830641 55.051109),55.051109,8.830641
node/9771932096,Bunken Nord,DK,57.643295,10.461361,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/9771932096,2026-06-24,2026-06-24,POINT (10.461361 57.643295),57.643295,10.461361
node/9817884566,Midtvejs Øst,DK,56.317845,9.182358,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/9817884566,2026-06-24,2026-06-24,POINT (9.182358 56.317845),56.317845,9.182358
node/9817884567,Midtvejs Vest,DK,56.318503,9.182718,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/9817884567,2026-06-24,2026-06-24,POINT (9.182718 56.318503),56.318503,9.182718
node/9854864652,Rasteplads Store Lyngby,DK,55.937463,12.120174,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/9854864652,2026-06-24,2026-06-24,POINT (12.120174 55.937463),55.937463,12.120174
node/9854864695,Rasteplads Store Lyngby,DK,55.937683,12.123628,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/9854864695,2026-06-24,2026-06-24,POINT (12.123628 55.937683),55.937683,12.123628
node/9890948740,Holme-Olstrup,DK,55.258882,11.863576,rest_area,,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/9890948740,2026-06-24,2026-06-24,POINT (11.863576 55.258882),55.258882,11.863576
node/9890948741,Korsør,DK,55.347524,11.11991,rest_area,E20,True,1,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/9890948741,2026-06-24,2026-06-24,POINT (11.11991 55.347524),55.347524,11.11991
way/1082181747,Hærvejen Nord,DK,55.836893,9.398755,rest_area,18;30,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1082181747,2026-06-24,2026-06-24,POINT (9.398755 55.836893),55.836893,9.398755
way/1082181748,Hærvejen Syd,DK,55.835587,9.395033,rest_area,18;30,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1082181748,2026-06-24,2026-06-24,POINT (9.395033 55.835587),55.835587,9.395033
way/1082973264,Lillebælt Syd,DK,55.477834,9.878641,rest_area,E20,True,2,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1082973264,2026-06-24,2026-06-24,POINT (9.878641 55.477834),55.477834,9.878641
way/117376280,Limfjorden,DK,56.991608,9.899917,rest_area,E45,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/117376280,2026-06-24,2026-06-24,POINT (9.899917 56.991608),56.991608,9.899917
way/117376298,Dall,DK,56.994206,9.901104,rest_area,E45,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/117376298,2026-06-24,2026-06-24,POINT (9.901104 56.994206),56.994206,9.901104
way/119141671,Storkereden,DK,55.799214,12.53405,rest_area,19;E47,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/119141671,2026-06-24,2026-06-24,POINT (12.53405 55.799214),55.799214,12.53405
way/1216823236,Hylkedal Øst,DK,55.475032,9.427203,rest_area,E45,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1216823236,2026-06-24,2026-06-24,POINT (9.427203 55.475032),55.475032,9.427203
way/1257519194,Hylkedal Vest,DK,55.476044,9.423962,rest_area,E45,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1257519194,2026-06-24,2026-06-24,POINT (9.423962 55.476044),55.476044,9.423962
way/1257540979,Kildebjerg Nord,DK,55.394701,10.1897,rest_area,E20,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1257540979,2026-06-24,2026-06-24,POINT (10.1897 55.394701),55.394701,10.1897
way/1257546031,Nyborg Rasteplads,DK,55.297505,10.842449,services,E20,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1257546031,2026-06-24,2026-06-24,POINT (10.842449 55.297505),55.297505,10.842449
way/1257560240,Harte Nord Rasteplads,DK,55.514319,9.399763,services,E20,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1257560240,2026-06-24,2026-06-24,POINT (9.399763 55.514319),55.514319,9.399763
way/1257563979,Rønkilde Nord,DK,56.13452,9.300288,rest_area,15,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1257563979,2026-06-24,2026-06-24,POINT (9.300288 56.13452),56.13452,9.300288
way/1300893630,Ejer Bavnehøj Øst,DK,55.978049,9.869543,services,E45,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1300893630,2026-06-24,2026-06-24,POINT (9.869543 55.978049),55.978049,9.869543
way/1300893631,Ejer Bavnehøj Vest,DK,55.978717,9.865498,services,E45,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1300893631,2026-06-24,2026-06-24,POINT (9.865498 55.978717),55.978717,9.865498
way/135799932,Lillebælt Nord,DK,55.488343,9.844029,rest_area,E20,True,2,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/135799932,2026-06-24,2026-06-24,POINT (9.844029 55.488343),55.488343,9.844029
way/1421373209,Rønninge Syd,DK,55.348898,10.593814,rest_area,E20,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1421373209,2026-06-24,2026-06-24,POINT (10.593814 55.348898),55.348898,10.593814
way/1463704343,Groven,DK,55.219828,10.500156,rest_area,9,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1463704343,2026-06-24,2026-06-24,POINT (10.500156 55.219828),55.219828,10.500156
way/1463704344,Dynden,DK,55.220256,10.502263,rest_area,9,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/1463704344,2026-06-24,2026-06-24,POINT (10.502263 55.220256),55.220256,10.502263
way/292661386,Kongsted Nord,DK,55.458052,11.934221,rest_area,E20,True,2,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/292661386,2026-06-24,2026-06-24,POINT (11.934221 55.458052),55.458052,11.934221
