id,name,country,lat,lon,feature_type,motorway_ref,has_playground,playground_count,match_type,play_type,side,toilets,restaurant,fuel,cafe,picnic,wheelchair,source,verified_source,osm_url,data_retrieved_at,last_verified,WKT,latitude,longitude
node/10836988405,Área de descanso Llívia,ES,41.63118,0.645769,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/10836988405,2026-06-24,2026-06-24,POINT (0.645769 41.63118),41.63118,0.645769
node/1148839094,Área de descanso Alto de Jesús del Monte,ES,43.404648,-3.62339,rest_area,A-8,True,1,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/1148839094,2026-06-24,2026-06-24,POINT (-3.62339 43.404648),43.404648,-3.62339
node/11494317429,Área de descanso Mascarell,ES,39.865479,-0.121547,rest_area,AP-7,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/11494317429,2026-06-24,2026-06-24,POINT (-0.121547 39.865479),39.865479,-0.121547
node/11494323018,Área de descanso Mascarell,ES,39.864529,-0.121032,rest_area,AP-7,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/11494323018,2026-06-24,2026-06-24,POINT (-0.121032 39.864529),39.864529,-0.121032
node/11876883452,Área de descanso Puebla de la Calzada,ES,38.894828,-6.619795,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/11876883452,2026-06-24,2026-06-24,POINT (-6.619795 38.894828),38.894828,-6.619795
node/11876920614,Área de descanso Puebla de la Calzada,ES,38.894812,-6.620157,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/11876920614,2026-06-24,2026-06-24,POINT (-6.620157 38.894812),38.894812,-6.620157
node/12102027749,Área de descanso Moratalaz,ES,40.405357,-3.625616,rest_area,M-40,True,6,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12102027749,2026-06-24,2026-06-24,POINT (-3.625616 40.405357),40.405357,-3.625616
node/12352280869,Área de descanso Maó,ES,39.888415,4.252816,rest_area,,True,3,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12352280869,2026-06-24,2026-06-24,POINT (4.252816 39.888415),39.888415,4.252816
node/12376811138,Área de descanso Pedrafita do Cebreiro,ES,42.724973,-7.023174,rest_area,A-6,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12376811138,2026-06-24,2026-06-24,POINT (-7.023174 42.724973),42.724973,-7.023174
node/12694865401,Área de descanso Tormos,ES,42.101165,-0.694774,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12694865401,2026-06-24,2026-06-24,POINT (-0.694774 42.101165),42.101165,-0.694774
node/12797419001,Área de descanso Mansilla de las Mulas,ES,42.501557,-5.414541,rest_area,N-601,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12797419001,2026-06-24,2026-06-24,POINT (-5.414541 42.501557),42.501557,-5.414541
node/12811284412,Suministros Industriales,ES,40.397733,-3.770169,services,A-5,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12811284412,2026-06-24,2026-06-24,POINT (-3.770169 40.397733),40.397733,-3.770169
node/12811349860,EXD,ES,40.397195,-3.772053,services,M-502,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12811349860,2026-06-24,2026-06-24,POINT (-3.772053 40.397195),40.397195,-3.772053
node/12811371322,Sistemas Ambiente,ES,40.397298,-3.772359,services,M-502,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12811371322,2026-06-24,2026-06-24,POINT (-3.772359 40.397298),40.397298,-3.772359
node/12811444357,Asesoria,ES,40.399013,-3.775765,services,M-502,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12811444357,2026-06-24,2026-06-24,POINT (-3.775765 40.399013),40.399013,-3.775765
node/12829234801,Área de descanso Yagüe,ES,42.448134,-2.499941,rest_area,,True,3,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12829234801,2026-06-24,2026-06-24,POINT (-2.499941 42.448134),42.448134,-2.499941
node/12850749001,Área de descanso Bargota,ES,42.558307,-2.310541,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/12850749001,2026-06-24,2026-06-24,POINT (-2.310541 42.558307),42.558307,-2.310541
node/13050315247,Área de descanso Gimileo,ES,42.53904,-2.817485,rest_area,AP-68,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13050315247,2026-06-24,2026-06-24,POINT (-2.817485 42.53904),42.53904,-2.817485
node/13050322021,Área de descanso Ollauri,ES,42.537876,-2.81839,rest_area,AP-68,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13050322021,2026-06-24,2026-06-24,POINT (-2.81839 42.537876),42.537876,-2.81839
node/13069525441,Área de descanso Ucieda,ES,43.271163,-4.2456,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13069525441,2026-06-24,2026-06-24,POINT (-4.2456 43.271163),43.271163,-4.2456
node/13074829130,Área de descanso Toporias,ES,43.321736,-4.227642,rest_area,A-8,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13074829130,2026-06-24,2026-06-24,POINT (-4.227642 43.321736),43.321736,-4.227642
node/13123140738,Área de descanso Ausejo,ES,42.386557,-2.185083,rest_area,AP-68,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13123140738,2026-06-24,2026-06-24,POINT (-2.185083 42.386557),42.386557,-2.185083
node/13271054450,Área de descanso A Cabreira,ES,42.324462,-8.768442,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13271054450,2026-06-24,2026-06-24,POINT (-8.768442 42.324462),42.324462,-8.768442
node/13826679901,Área de descanso Puertollano,ES,37.492126,-3.963402,rest_area,N-432,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13826679901,2026-06-24,2026-06-24,POINT (-3.963402 37.492126),37.492126,-3.963402
node/13861065446,Área de descanso Santovenia del Esla,ES,41.868378,-5.711697,rest_area,A-66,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/13861065446,2026-06-24,2026-06-24,POINT (-5.711697 41.868378),41.868378,-5.711697
node/252454203,Área de descanso Lardero,ES,42.430083,-2.495214,rest_area,AP-68,True,3,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/252454203,2026-06-24,2026-06-24,POINT (-2.495214 42.430083),42.430083,-2.495214
node/257442550,Área de descanso Corella,ES,42.116633,-1.738696,rest_area,AP-68,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/257442550,2026-06-24,2026-06-24,POINT (-1.738696 42.116633),42.116633,-1.738696
node/2646414632,Área de descanso Fuenmayor,ES,42.459597,-2.599121,rest_area,AP-68,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/2646414632,2026-06-24,2026-06-24,POINT (-2.599121 42.459597),42.459597,-2.599121
node/2804667254,L'Empordà,ES,42.172491,2.930587,services,AP-7,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/2804667254,2026-06-24,2026-06-24,POINT (2.930587 42.172491),42.172491,2.930587
node/299824431,Parking residencial,ES,37.199176,-1.817681,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/299824431,2026-06-24,2026-06-24,POINT (-1.817681 37.199176),37.199176,-1.817681
node/3001131142,El Penedès,ES,41.288458,1.591423,services,AP-7,True,1,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/3001131142,2026-06-24,2026-06-24,POINT (1.591423 41.288458),41.288458,1.591423
node/3001131143,El Penedès,ES,41.288987,1.591176,services,AP-7,True,1,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/3001131143,2026-06-24,2026-06-24,POINT (1.591176 41.288987),41.288987,1.591176
node/3078097648,Área de descanso Corella,ES,42.116345,-1.737478,rest_area,AP-68,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/3078097648,2026-06-24,2026-06-24,POINT (-1.737478 42.116345),42.116345,-1.737478
node/3078097685,Área de descanso Lardero,ES,42.429846,-2.492575,rest_area,AP-68,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/3078097685,2026-06-24,2026-06-24,POINT (-2.492575 42.429846),42.429846,-2.492575
node/3487745479,Área de descanso Ermide,ES,42.251828,-8.650509,rest_area,,True,1,proximity,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/3487745479,2026-06-24,2026-06-24,POINT (-8.650509 42.251828),42.251828,-8.650509
