id,name,country,lat,lon,feature_type,motorway_ref,has_playground,playground_count,match_type,toilets,restaurant,fuel,cafe,picnic,wheelchair,source,osm_url,data_retrieved_at,WKT,latitude,longitude
node/1189248007,Rest area Galley Hill,GB,52.053671,-0.834011,rest_area,A5,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/1189248007,2026-06-23,POINT (-0.834011 52.053671),52.053671,-0.834011
node/13015950475,The Library,GB,53.801466,-1.54435,rest_area,A58,True,2,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/13015950475,2026-06-23,POINT (-1.54435 53.801466),53.801466,-1.54435
node/1644167303,Green Park,GB,53.672363,-1.575888,rest_area,,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/1644167303,2026-06-23,POINT (-1.575888 53.672363),53.672363,-1.575888
node/1677641686,Rest area Dalton,GB,53.648869,-1.746701,rest_area,,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/1677641686,2026-06-23,POINT (-1.746701 53.648869),53.648869,-1.746701
node/1951053478,Services Thorpe St Andrew,GB,52.636413,1.369844,services,,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/1951053478,2026-06-23,POINT (1.369844 52.636413),52.636413,1.369844
node/2847646776,Rest area Denhall,GB,53.27127,-3.047831,rest_area,,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/2847646776,2026-06-23,POINT (-3.047831 53.27127),53.27127,-3.047831
node/4491283367,Rest area Pennycross,GB,50.402688,-4.148455,rest_area,A38,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/4491283367,2026-06-23,POINT (-4.148455 50.402688),50.402688,-4.148455
node/4760403709,Rest area North Filham,GB,50.384235,-3.907423,rest_area,A38,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/4760403709,2026-06-23,POINT (-3.907423 50.384235),50.384235,-3.907423
node/4881857231,Rest area Loppington,GB,52.859009,-2.787212,rest_area,,True,1,proximity,False,False,False,False,False,False,osm,https://www.openstreetmap.org/node/4881857231,2026-06-23,POINT (-2.787212 52.859009),52.859009,-2.787212
node/5283787121,Rest area Chichester,GB,50.834283,-0.773094,rest_area,,True,1,proximity,True,False,False,False,False,False,osm,https://www.openstreetmap.org/node/5283787121,2026-06-23,POINT (-0.773094 50.834283),50.834283,-0.773094
