id,name,country,lat,lon,feature_type,motorway_ref,has_playground,playground_count,match_type,play_type,side,toilets,restaurant,fuel,cafe,picnic,wheelchair,source,verified_source,osm_url,data_retrieved_at,last_verified,WKT,latitude,longitude
node/11536092006,Verzorgingsplaats West,NL,52.368058,4.843393,rest_area,A10,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/11536092006,2026-06-24,2026-06-24,POINT (4.843393 52.368058),52.368058,4.843393
node/11918120669,Verzorgingsplaats Tuute,NL,52.009364,6.560706,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/11918120669,2026-06-24,2026-06-24,POINT (6.560706 52.009364),52.009364,6.560706
node/1249147578,Verzorgingsplaats Froombosch,NL,53.196515,6.775038,rest_area,,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/1249147578,2026-06-24,2026-06-24,POINT (6.775038 53.196515),53.196515,6.775038
node/4333903489,Verzorgingsplaats Westmaas,NL,51.784885,4.476134,rest_area,,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4333903489,2026-06-24,2026-06-24,POINT (4.476134 51.784885),51.784885,4.476134
node/4358032489,Verzorgingsplaats Centrum,NL,52.358853,4.910286,rest_area,,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4358032489,2026-06-24,2026-06-24,POINT (4.910286 52.358853),52.358853,4.910286
node/4366763392,Verzorgingsplaats Bergen op Zoom,NL,51.484979,4.278231,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4366763392,2026-06-24,2026-06-24,POINT (4.278231 51.484979),51.484979,4.278231
node/4460262411,Verzorgingsplaats Oud-Beijerland,NL,51.823478,4.410129,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4460262411,2026-06-24,2026-06-24,POINT (4.410129 51.823478),51.823478,4.410129
node/4536408090,Verzorgingsplaats Velp,NL,51.988047,5.980496,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4536408090,2026-06-24,2026-06-24,POINT (5.980496 51.988047),51.988047,5.980496
node/4593001605,Verzorgingsplaats Segbroek,NL,52.081569,4.26428,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4593001605,2026-06-24,2026-06-24,POINT (4.26428 52.081569),52.081569,4.26428
node/4593303589,Verzorgingsplaats Naaldwijk,NL,51.987439,4.203891,rest_area,,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4593303589,2026-06-24,2026-06-24,POINT (4.203891 51.987439),51.987439,4.203891
node/4594180296,Verzorgingsplaats Monster,NL,52.019763,4.186012,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4594180296,2026-06-24,2026-06-24,POINT (4.186012 52.019763),52.019763,4.186012
node/4594468789,Verzorgingsplaats Ter Heijde,NL,52.035914,4.189942,rest_area,,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4594468789,2026-06-24,2026-06-24,POINT (4.189942 52.035914),52.035914,4.189942
node/4595112491,Verzorgingsplaats Naaldwijk,NL,51.991177,4.20446,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4595112491,2026-06-24,2026-06-24,POINT (4.20446 51.991177),51.991177,4.20446
node/4829411222,Verzorgingsplaats Brielle,NL,51.905157,4.16117,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/4829411222,2026-06-24,2026-06-24,POINT (4.16117 51.905157),51.905157,4.16117
node/5037131222,Verzorgingsplaats Oudewater,NL,52.028378,4.873169,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/5037131222,2026-06-24,2026-06-24,POINT (4.873169 52.028378),52.028378,4.873169
node/5203100424,Verzorgingsplaats Utrecht,NL,52.0861,5.129543,rest_area,,True,2,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/5203100424,2026-06-24,2026-06-24,POINT (5.129543 52.0861),52.0861,5.129543
node/5508116523,Verzorgingsplaats Vijfhuizen,NL,52.356107,4.656877,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/5508116523,2026-06-24,2026-06-24,POINT (4.656877 52.356107),52.356107,4.656877
node/5811976756,Verzorgingsplaats Jisp,NL,52.508577,4.847412,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/5811976756,2026-06-24,2026-06-24,POINT (4.847412 52.508577),52.508577,4.847412
node/6703448885,Verzorgingsplaats Werendijke,NL,51.497089,3.49753,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/6703448885,2026-06-24,2026-06-24,POINT (3.49753 51.497089),51.497089,3.49753
node/7352348385,Verzorgingsplaats Kinderdijk,NL,51.888643,4.63249,rest_area,,True,1,proximity,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/node/7352348385,2026-06-24,2026-06-24,POINT (4.63249 51.888643),51.888643,4.63249
way/490680589,Ronduit,NL,52.294351,5.176984,rest_area,A1,True,2,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/490680589,2026-06-24,2026-06-24,POINT (5.176984 52.294351),52.294351,5.176984
way/490699087,Bastion,NL,52.295404,5.177753,rest_area,A1,True,2,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/490699087,2026-06-24,2026-06-24,POINT (5.177753 52.295404),52.295404,5.177753
way/607969147,Hendriksbos,NL,52.362771,5.767205,services,A28,True,1,contained,outdoor,unknown,False,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/607969147,2026-06-24,2026-06-24,POINT (5.767205 52.362771),52.362771,5.767205
way/669127951,Het Lonnekermeer,NL,52.281054,6.852634,services,A1,True,1,contained,outdoor,unknown,True,False,False,False,False,False,osm,osm,https://www.openstreetmap.org/way/669127951,2026-06-24,2026-06-24,POINT (6.852634 52.281054),52.281054,6.852634
